Timestamp,VM_KW(kW)
19-Sep-23 4:00 AM ICT,2.1
19-Sep-23 4:05 AM ICT,2.0
19-Sep-23 4:10 AM ICT,1.9
19-Sep-23 4:15 AM ICT,2.0
19-Sep-23 4:20 AM ICT,2.1
19-Sep-23 4:25 AM ICT,1.9
19-Sep-23 4:30 AM ICT,2.0
19-Sep-23 4:35 AM ICT,2.1
19-Sep-23 4:40 AM ICT,1.9
19-Sep-23 4:45 AM ICT,1.9
19-Sep-23 4:50 AM ICT,2.1
19-Sep-23 4:55 AM ICT,1.9
19-Sep-23 5:00 AM ICT,1.9
19-Sep-23 5:05 AM ICT,2.0
19-Sep-23 5:10 AM ICT,2.2
19-Sep-23 5:15 AM ICT,2.0
19-Sep-23 5:20 AM ICT,1.7
19-Sep-23 5:25 AM ICT,1.5
19-Sep-23 5:30 AM ICT,0.9
19-Sep-23 5:35 AM ICT,0.8
19-Sep-23 5:40 AM ICT,0.9
19-Sep-23 5:45 AM ICT,0.9
19-Sep-23 5:50 AM ICT,0.9
19-Sep-23 5:55 AM ICT,0.9
19-Sep-23 6:00 AM ICT,0.9
19-Sep-23 6:05 AM ICT,0.8
19-Sep-23 6:10 AM ICT,0.8
19-Sep-23 6:15 AM ICT,0.8
19-Sep-23 6:20 AM ICT,0.8
19-Sep-23 6:25 AM ICT,0.7
19-Sep-23 6:30 AM ICT,0.7
19-Sep-23 6:35 AM ICT,0.9
19-Sep-23 6:40 AM ICT,0.9
19-Sep-23 6:45 AM ICT,0.7
19-Sep-23 6:50 AM ICT,0.7
19-Sep-23 6:55 AM ICT,0.8
19-Sep-23 7:00 AM ICT,0.9
19-Sep-23 7:05 AM ICT,0.7
19-Sep-23 7:10 AM ICT,0.7
19-Sep-23 7:15 AM ICT,0.8
19-Sep-23 7:20 AM ICT,0.9
19-Sep-23 7:25 AM ICT,0.7
19-Sep-23 7:30 AM ICT,1.8
19-Sep-23 7:35 AM ICT,2.7
19-Sep-23 7:40 AM ICT,3.3
19-Sep-23 7:45 AM ICT,3.4
19-Sep-23 7:50 AM ICT,4.1
19-Sep-23 7:55 AM ICT,3.4
19-Sep-23 8:00 AM ICT,3.3
19-Sep-23 8:05 AM ICT,4.1
19-Sep-23 8:10 AM ICT,4.8
19-Sep-23 8:15 AM ICT,5.4
19-Sep-23 8:20 AM ICT,4.9
19-Sep-23 8:25 AM ICT,5.6
19-Sep-23 8:30 AM ICT,9.4
19-Sep-23 8:35 AM ICT,13.7
19-Sep-23 8:40 AM ICT,13.8
19-Sep-23 8:45 AM ICT,7.0
19-Sep-23 8:50 AM ICT,9.6
19-Sep-23 8:55 AM ICT,12.4
19-Sep-23 9:00 AM ICT,11.0
19-Sep-23 9:05 AM ICT,10.3
19-Sep-23 9:10 AM ICT,10.7
19-Sep-23 9:15 AM ICT,10.9
19-Sep-23 9:20 AM ICT,15.2
19-Sep-23 9:25 AM ICT,14.5
19-Sep-23 9:30 AM ICT,12.3
19-Sep-23 9:35 AM ICT,12.1
19-Sep-23 9:40 AM ICT,11.7
19-Sep-23 9:45 AM ICT,14.6
19-Sep-23 9:50 AM ICT,16.9
19-Sep-23 9:55 AM ICT,17.6
19-Sep-23 10:00 AM ICT,18.1
19-Sep-23 10:05 AM ICT,17.5
19-Sep-23 10:10 AM ICT,17.5
19-Sep-23 10:15 AM ICT,18.4
19-Sep-23 10:20 AM ICT,18.1
19-Sep-23 10:25 AM ICT,18.4
19-Sep-23 10:30 AM ICT,19.8
19-Sep-23 10:35 AM ICT,21.9
19-Sep-23 10:40 AM ICT,20.3
19-Sep-23 10:45 AM ICT,20.4
19-Sep-23 10:50 AM ICT,19.8
19-Sep-23 10:55 AM ICT,20.4
19-Sep-23 11:00 AM ICT,21.9
19-Sep-23 11:05 AM ICT,20.8
19-Sep-23 11:10 AM ICT,19.9
19-Sep-23 11:15 AM ICT,19.5
19-Sep-23 11:20 AM ICT,18.0
19-Sep-23 11:25 AM ICT,18.1
19-Sep-23 11:30 AM ICT,17.6
19-Sep-23 11:35 AM ICT,17.0
19-Sep-23 11:40 AM ICT,16.1
19-Sep-23 11:45 AM ICT,15.9
19-Sep-23 11:50 AM ICT,15.0
19-Sep-23 11:55 AM ICT,15.2
19-Sep-23 12:00 PM ICT,17.5
19-Sep-23 12:05 PM ICT,16.4
19-Sep-23 12:10 PM ICT,14.6
19-Sep-23 12:15 PM ICT,14.8
19-Sep-23 12:20 PM ICT,15.0
19-Sep-23 12:25 PM ICT,14.8
19-Sep-23 12:30 PM ICT,14.1
19-Sep-23 12:35 PM ICT,15.4
19-Sep-23 12:40 PM ICT,15.2
19-Sep-23 12:45 PM ICT,14.3
19-Sep-23 12:50 PM ICT,14.5
19-Sep-23 12:55 PM ICT,16.5
19-Sep-23 1:00 PM ICT,14.1
19-Sep-23 1:05 PM ICT,15.4
19-Sep-23 1:10 PM ICT,18.6
19-Sep-23 1:15 PM ICT,20.3
19-Sep-23 1:20 PM ICT,20.1
19-Sep-23 1:25 PM ICT,21.6
19-Sep-23 1:30 PM ICT,23.5
19-Sep-23 1:35 PM ICT,22.5
19-Sep-23 1:40 PM ICT,21.1
19-Sep-23 1:45 PM ICT,20.8
19-Sep-23 1:50 PM ICT,19.6
19-Sep-23 1:55 PM ICT,19.0
19-Sep-23 2:00 PM ICT,19.2
19-Sep-23 2:05 PM ICT,19.2
19-Sep-23 2:10 PM ICT,18.8
19-Sep-23 2:15 PM ICT,17.5
19-Sep-23 2:20 PM ICT,17.8
19-Sep-23 2:25 PM ICT,19.1
19-Sep-23 2:30 PM ICT,18.4
19-Sep-23 2:35 PM ICT,17.7
19-Sep-23 2:40 PM ICT,18.2
19-Sep-23 2:45 PM ICT,18.7
19-Sep-23 2:50 PM ICT,18.8
19-Sep-23 2:55 PM ICT,18.9
19-Sep-23 3:00 PM ICT,18.6
19-Sep-23 3:05 PM ICT,17.1
19-Sep-23 3:10 PM ICT,16.1
19-Sep-23 3:15 PM ICT,16.8
19-Sep-23 3:20 PM ICT,18.7
19-Sep-23 3:25 PM ICT,19.4
19-Sep-23 3:30 PM ICT,17.2
19-Sep-23 3:35 PM ICT,17.9
19-Sep-23 3:40 PM ICT,19.2
19-Sep-23 3:45 PM ICT,18.0
19-Sep-23 3:50 PM ICT,16.2
19-Sep-23 3:55 PM ICT,13.2
19-Sep-23 4:00 PM ICT,14.0
19-Sep-23 4:05 PM ICT,14.2
19-Sep-23 4:10 PM ICT,14.5
19-Sep-23 4:15 PM ICT,15.2
19-Sep-23 4:20 PM ICT,17.5
19-Sep-23 4:25 PM ICT,17.0
19-Sep-23 4:30 PM ICT,17.6
19-Sep-23 4:35 PM ICT,18.3
19-Sep-23 4:40 PM ICT,17.0
19-Sep-23 4:45 PM ICT,12.7
19-Sep-23 4:50 PM ICT,11.0
19-Sep-23 4:55 PM ICT,11.7
19-Sep-23 5:00 PM ICT,16.3
19-Sep-23 5:05 PM ICT,10.7
19-Sep-23 5:10 PM ICT,4.1
19-Sep-23 5:15 PM ICT,4.2
19-Sep-23 5:20 PM ICT,5.6
19-Sep-23 5:25 PM ICT,4.6
19-Sep-23 5:30 PM ICT,5.7
19-Sep-23 5:35 PM ICT,4.5
19-Sep-23 5:40 PM ICT,4.0
19-Sep-23 5:45 PM ICT,3.4
19-Sep-23 5:50 PM ICT,2.8
19-Sep-23 5:55 PM ICT,2.1
19-Sep-23 6:00 PM ICT,0.9
19-Sep-23 6:05 PM ICT,0.9
19-Sep-23 6:10 PM ICT,1.9
19-Sep-23 6:15 PM ICT,2.2
19-Sep-23 6:20 PM ICT,2.4
19-Sep-23 6:25 PM ICT,2.3
19-Sep-23 6:30 PM ICT,2.2
19-Sep-23 6:35 PM ICT,2.2
19-Sep-23 6:40 PM ICT,2.6
19-Sep-23 6:45 PM ICT,2.9
19-Sep-23 6:50 PM ICT,3.0
19-Sep-23 6:55 PM ICT,2.9
19-Sep-23 7:00 PM ICT,2.7
19-Sep-23 7:05 PM ICT,2.7
19-Sep-23 7:10 PM ICT,2.6
19-Sep-23 7:15 PM ICT,2.6
19-Sep-23 7:20 PM ICT,2.7
19-Sep-23 7:25 PM ICT,2.7
19-Sep-23 7:30 PM ICT,2.7
19-Sep-23 7:35 PM ICT,3.0
19-Sep-23 7:40 PM ICT,3.0
19-Sep-23 7:45 PM ICT,2.9
19-Sep-23 7:50 PM ICT,2.8
19-Sep-23 7:55 PM ICT,2.8
19-Sep-23 8:00 PM ICT,2.6
19-Sep-23 8:05 PM ICT,2.7
19-Sep-23 8:10 PM ICT,2.7
19-Sep-23 8:15 PM ICT,2.6
19-Sep-23 8:20 PM ICT,2.5
19-Sep-23 8:25 PM ICT,2.4
19-Sep-23 8:30 PM ICT,2.2
19-Sep-23 8:35 PM ICT,2.3
19-Sep-23 8:40 PM ICT,2.4
19-Sep-23 8:45 PM ICT,2.4
19-Sep-23 8:50 PM ICT,2.2
19-Sep-23 8:55 PM ICT,2.1
19-Sep-23 9:00 PM ICT,2.3
19-Sep-23 9:05 PM ICT,2.4
19-Sep-23 9:10 PM ICT,2.2
19-Sep-23 9:15 PM ICT,2.2
19-Sep-23 9:20 PM ICT,2.3
19-Sep-23 9:25 PM ICT,2.6
19-Sep-23 9:30 PM ICT,2.5
19-Sep-23 9:35 PM ICT,2.4
19-Sep-23 9:40 PM ICT,2.4
19-Sep-23 9:45 PM ICT,2.4
19-Sep-23 9:50 PM ICT,2.1
19-Sep-23 9:55 PM ICT,2.1
19-Sep-23 10:00 PM ICT,2.3
19-Sep-23 10:05 PM ICT,2.2
19-Sep-23 10:10 PM ICT,2.0
19-Sep-23 10:15 PM ICT,2.0
19-Sep-23 10:20 PM ICT,2.2
19-Sep-23 10:25 PM ICT,2.2
19-Sep-23 10:30 PM ICT,2.0
19-Sep-23 10:35 PM ICT,2.1
19-Sep-23 10:40 PM ICT,2.3
19-Sep-23 10:45 PM ICT,2.3
19-Sep-23 10:50 PM ICT,2.1
19-Sep-23 10:55 PM ICT,2.0
19-Sep-23 11:00 PM ICT,2.2
19-Sep-23 11:05 PM ICT,2.2
19-Sep-23 11:10 PM ICT,2.1
19-Sep-23 11:15 PM ICT,2.0
19-Sep-23 11:20 PM ICT,2.2
19-Sep-23 11:25 PM ICT,2.2
19-Sep-23 11:30 PM ICT,2.0
19-Sep-23 11:35 PM ICT,2.0
19-Sep-23 11:40 PM ICT,2.0
19-Sep-23 11:45 PM ICT,2.3
19-Sep-23 11:50 PM ICT,2.3
19-Sep-23 11:55 PM ICT,2.1
20-Sep-23 12:00 AM ICT,2.0
20-Sep-23 12:05 AM ICT,2.2
20-Sep-23 12:10 AM ICT,2.3
20-Sep-23 12:15 AM ICT,2.1
20-Sep-23 12:20 AM ICT,2.0
20-Sep-23 12:25 AM ICT,2.1
20-Sep-23 12:30 AM ICT,2.1
20-Sep-23 12:35 AM ICT,2.3
20-Sep-23 12:40 AM ICT,2.2
20-Sep-23 12:45 AM ICT,2.2
20-Sep-23 12:50 AM ICT,2.2
20-Sep-23 12:55 AM ICT,2.3
20-Sep-23 1:00 AM ICT,2.5
20-Sep-23 1:05 AM ICT,2.1
20-Sep-23 1:10 AM ICT,2.1
20-Sep-23 1:15 AM ICT,2.0
20-Sep-23 1:20 AM ICT,2.1
20-Sep-23 1:25 AM ICT,2.2
20-Sep-23 1:30 AM ICT,2.2
20-Sep-23 1:35 AM ICT,2.1
20-Sep-23 1:40 AM ICT,2.1
20-Sep-23 1:45 AM ICT,2.1
20-Sep-23 1:50 AM ICT,2.2
20-Sep-23 1:55 AM ICT,2.2
20-Sep-23 2:00 AM ICT,2.0
20-Sep-23 2:05 AM ICT,2.0
20-Sep-23 2:10 AM ICT,2.0
20-Sep-23 2:15 AM ICT,2.2
20-Sep-23 2:20 AM ICT,2.3
20-Sep-23 2:25 AM ICT,2.2
20-Sep-23 2:30 AM ICT,2.1
20-Sep-23 2:35 AM ICT,2.0
20-Sep-23 2:40 AM ICT,2.0
20-Sep-23 2:45 AM ICT,2.1
20-Sep-23 2:50 AM ICT,2.3
20-Sep-23 2:55 AM ICT,2.3
20-Sep-23 3:00 AM ICT,2.1
20-Sep-23 3:05 AM ICT,2.0
20-Sep-23 3:10 AM ICT,2.0
20-Sep-23 3:15 AM ICT,2.2
20-Sep-23 3:20 AM ICT,2.2
20-Sep-23 3:25 AM ICT,2.0
20-Sep-23 3:30 AM ICT,2.0
20-Sep-23 3:35 AM ICT,2.0
20-Sep-23 3:40 AM ICT,2.1
20-Sep-23 3:45 AM ICT,2.2
20-Sep-23 3:50 AM ICT,2.2
20-Sep-23 3:55 AM ICT,2.0
20-Sep-23 4:00 AM ICT,2.0
20-Sep-23 4:05 AM ICT,2.0
20-Sep-23 4:10 AM ICT,2.1
20-Sep-23 4:15 AM ICT,2.3
20-Sep-23 4:20 AM ICT,2.3
20-Sep-23 4:25 AM ICT,2.1
20-Sep-23 4:30 AM ICT,2.0
20-Sep-23 4:35 AM ICT,2.0
20-Sep-23 4:40 AM ICT,2.0
20-Sep-23 4:45 AM ICT,2.0
20-Sep-23 4:50 AM ICT,2.3
20-Sep-23 4:55 AM ICT,2.2
20-Sep-23 5:00 AM ICT,2.1
20-Sep-23 5:05 AM ICT,2.0
20-Sep-23 5:10 AM ICT,2.0
20-Sep-23 5:15 AM ICT,1.9
20-Sep-23 5:20 AM ICT,1.2
20-Sep-23 5:25 AM ICT,1.3
20-Sep-23 5:30 AM ICT,1.3
20-Sep-23 5:35 AM ICT,1.2
20-Sep-23 5:40 AM ICT,1.3
20-Sep-23 5:45 AM ICT,0.9
20-Sep-23 5:50 AM ICT,0.7
20-Sep-23 5:55 AM ICT,0.8
20-Sep-23 6:00 AM ICT,0.9
20-Sep-23 6:05 AM ICT,0.9
20-Sep-23 6:10 AM ICT,0.9
20-Sep-23 6:15 AM ICT,0.7
20-Sep-23 6:20 AM ICT,0.7
20-Sep-23 6:25 AM ICT,0.7
20-Sep-23 6:30 AM ICT,0.6
20-Sep-23 6:35 AM ICT,0.8
20-Sep-23 6:40 AM ICT,0.9
20-Sep-23 6:45 AM ICT,0.9
20-Sep-23 6:50 AM ICT,0.7
20-Sep-23 6:55 AM ICT,0.8
20-Sep-23 7:00 AM ICT,0.8
20-Sep-23 7:05 AM ICT,0.8
20-Sep-23 7:10 AM ICT,0.8
20-Sep-23 7:15 AM ICT,1.0
20-Sep-23 7:20 AM ICT,1.1
20-Sep-23 7:25 AM ICT,0.9
20-Sep-23 7:30 AM ICT,0.7
20-Sep-23 7:35 AM ICT,0.8
20-Sep-23 7:40 AM ICT,0.9
20-Sep-23 7:45 AM ICT,1.7
20-Sep-23 7:50 AM ICT,3.5
20-Sep-23 7:55 AM ICT,4.7
20-Sep-23 8:00 AM ICT,7.2
20-Sep-23 8:05 AM ICT,8.0
20-Sep-23 8:10 AM ICT,14.0
20-Sep-23 8:15 AM ICT,20.1
20-Sep-23 8:20 AM ICT,24.5
20-Sep-23 8:25 AM ICT,30.8
20-Sep-23 8:30 AM ICT,31.8
20-Sep-23 8:35 AM ICT,31.5
20-Sep-23 8:40 AM ICT,32.4
20-Sep-23 8:45 AM ICT,30.8
20-Sep-23 8:50 AM ICT,29.4
20-Sep-23 8:55 AM ICT,24.6
20-Sep-23 9:00 AM ICT,23.3
20-Sep-23 9:05 AM ICT,28.5
20-Sep-23 9:10 AM ICT,30.3
20-Sep-23 9:15 AM ICT,28.6
20-Sep-23 9:20 AM ICT,26.8
20-Sep-23 9:25 AM ICT,26.3
20-Sep-23 9:30 AM ICT,27.9
20-Sep-23 9:35 AM ICT,27.2
20-Sep-23 9:40 AM ICT,26.7
20-Sep-23 9:45 AM ICT,27.5
20-Sep-23 9:50 AM ICT,27.9
20-Sep-23 9:55 AM ICT,32.5
20-Sep-23 10:00 AM ICT,30.4
20-Sep-23 10:05 AM ICT,29.5
20-Sep-23 10:10 AM ICT,32.1
20-Sep-23 10:15 AM ICT,32.5
20-Sep-23 10:20 AM ICT,30.0
20-Sep-23 10:25 AM ICT,32.3
20-Sep-23 10:30 AM ICT,31.1
20-Sep-23 10:35 AM ICT,29.6
20-Sep-23 10:40 AM ICT,31.0
20-Sep-23 10:45 AM ICT,31.2
20-Sep-23 10:50 AM ICT,31.2
20-Sep-23 10:55 AM ICT,31.3
20-Sep-23 11:00 AM ICT,31.6
20-Sep-23 11:05 AM ICT,34.8
20-Sep-23 11:10 AM ICT,33.4
20-Sep-23 11:15 AM ICT,32.2
20-Sep-23 11:20 AM ICT,31.3
20-Sep-23 11:25 AM ICT,32.0
20-Sep-23 11:30 AM ICT,34.7
20-Sep-23 11:35 AM ICT,35.4
20-Sep-23 11:40 AM ICT,33.9
20-Sep-23 11:45 AM ICT,34.3
20-Sep-23 11:50 AM ICT,34.8
20-Sep-23 11:55 AM ICT,33.0
20-Sep-23 12:00 PM ICT,32.5
20-Sep-23 12:05 PM ICT,31.8
20-Sep-23 12:10 PM ICT,33.9
20-Sep-23 12:15 PM ICT,31.9
20-Sep-23 12:20 PM ICT,31.1
20-Sep-23 12:25 PM ICT,28.4
20-Sep-23 12:30 PM ICT,30.5
20-Sep-23 12:35 PM ICT,30.8
20-Sep-23 12:40 PM ICT,32.4
20-Sep-23 12:45 PM ICT,30.4
20-Sep-23 12:50 PM ICT,28.9
20-Sep-23 12:55 PM ICT,29.6
20-Sep-23 1:00 PM ICT,30.4
20-Sep-23 1:05 PM ICT,31.2
20-Sep-23 1:10 PM ICT,32.4
20-Sep-23 1:15 PM ICT,33.2
20-Sep-23 1:20 PM ICT,32.4
20-Sep-23 1:25 PM ICT,32.8
20-Sep-23 1:30 PM ICT,34.2
20-Sep-23 1:35 PM ICT,37.3
20-Sep-23 1:40 PM ICT,35.6
20-Sep-23 1:45 PM ICT,35.5
20-Sep-23 1:50 PM ICT,34.8
20-Sep-23 1:55 PM ICT,33.0
20-Sep-23 2:00 PM ICT,33.9
20-Sep-23 2:05 PM ICT,36.6
20-Sep-23 2:10 PM ICT,34.8
20-Sep-23 2:15 PM ICT,34.0
20-Sep-23 2:20 PM ICT,36.3
20-Sep-23 2:25 PM ICT,36.8
20-Sep-23 2:30 PM ICT,36.1
20-Sep-23 2:35 PM ICT,38.4
20-Sep-23 2:40 PM ICT,37.3
20-Sep-23 2:45 PM ICT,33.7
20-Sep-23 2:50 PM ICT,35.1
20-Sep-23 2:55 PM ICT,35.2
20-Sep-23 3:00 PM ICT,34.2
20-Sep-23 3:05 PM ICT,35.8
20-Sep-23 3:10 PM ICT,33.6
20-Sep-23 3:15 PM ICT,33.4
20-Sep-23 3:20 PM ICT,34.8
20-Sep-23 3:25 PM ICT,32.2
20-Sep-23 3:30 PM ICT,35.6
20-Sep-23 3:35 PM ICT,33.4
20-Sep-23 3:40 PM ICT,30.7
20-Sep-23 3:45 PM ICT,31.8
20-Sep-23 3:50 PM ICT,35.6
20-Sep-23 3:55 PM ICT,37.1
20-Sep-23 4:00 PM ICT,36.7
20-Sep-23 4:05 PM ICT,36.5
20-Sep-23 4:10 PM ICT,37.3
20-Sep-23 4:15 PM ICT,36.2
20-Sep-23 4:20 PM ICT,36.2
20-Sep-23 4:25 PM ICT,35.7
20-Sep-23 4:30 PM ICT,37.1
20-Sep-23 4:35 PM ICT,36.3
20-Sep-23 4:40 PM ICT,35.8
20-Sep-23 4:45 PM ICT,34.6
20-Sep-23 4:50 PM ICT,33.2
20-Sep-23 4:55 PM ICT,33.8
20-Sep-23 5:00 PM ICT,32.2
20-Sep-23 5:05 PM ICT,25.8
20-Sep-23 5:10 PM ICT,15.5
20-Sep-23 5:15 PM ICT,2.1
20-Sep-23 5:20 PM ICT,1.8
20-Sep-23 5:25 PM ICT,1.1
20-Sep-23 5:30 PM ICT,1.0
20-Sep-23 5:35 PM ICT,1.0
20-Sep-23 5:40 PM ICT,1.1
20-Sep-23 5:45 PM ICT,1.0
20-Sep-23 5:50 PM ICT,1.1
20-Sep-23 5:55 PM ICT,1.1
20-Sep-23 6:00 PM ICT,1.1
20-Sep-23 6:05 PM ICT,1.3
20-Sep-23 6:10 PM ICT,1.4
20-Sep-23 6:15 PM ICT,1.4
20-Sep-23 6:20 PM ICT,1.6
20-Sep-23 6:25 PM ICT,2.2
20-Sep-23 6:30 PM ICT,2.1
20-Sep-23 6:35 PM ICT,2.3
20-Sep-23 6:40 PM ICT,2.3
20-Sep-23 6:45 PM ICT,2.3
20-Sep-23 6:50 PM ICT,2.2
20-Sep-23 6:55 PM ICT,2.3
20-Sep-23 7:00 PM ICT,2.2
20-Sep-23 7:05 PM ICT,2.2
20-Sep-23 7:10 PM ICT,2.2
20-Sep-23 7:15 PM ICT,2.2
20-Sep-23 7:20 PM ICT,2.3
20-Sep-23 7:25 PM ICT,2.3
20-Sep-23 7:30 PM ICT,2.2
20-Sep-23 7:35 PM ICT,2.2
20-Sep-23 7:40 PM ICT,2.2
20-Sep-23 7:45 PM ICT,2.2
20-Sep-23 7:50 PM ICT,2.2
20-Sep-23 7:55 PM ICT,2.2
20-Sep-23 8:00 PM ICT,2.2
20-Sep-23 8:05 PM ICT,2.2
20-Sep-23 8:10 PM ICT,2.2
20-Sep-23 8:15 PM ICT,2.2
20-Sep-23 8:20 PM ICT,2.2
20-Sep-23 8:25 PM ICT,2.6
20-Sep-23 8:30 PM ICT,5.3
20-Sep-23 8:35 PM ICT,5.9
20-Sep-23 8:40 PM ICT,5.6
20-Sep-23 8:45 PM ICT,4.8
20-Sep-23 8:50 PM ICT,4.5
20-Sep-23 8:55 PM ICT,4.1
20-Sep-23 9:00 PM ICT,2.6
20-Sep-23 9:05 PM ICT,3.0
20-Sep-23 9:10 PM ICT,3.1
20-Sep-23 9:15 PM ICT,3.2
20-Sep-23 9:20 PM ICT,3.1
20-Sep-23 9:25 PM ICT,2.3
20-Sep-23 9:30 PM ICT,2.3
20-Sep-23 9:35 PM ICT,2.3
20-Sep-23 9:40 PM ICT,2.3
20-Sep-23 9:45 PM ICT,2.4
20-Sep-23 9:50 PM ICT,2.4
20-Sep-23 9:55 PM ICT,2.3
20-Sep-23 10:00 PM ICT,2.0
20-Sep-23 10:05 PM ICT,2.0
20-Sep-23 10:10 PM ICT,2.0
20-Sep-23 10:15 PM ICT,2.0
20-Sep-23 10:20 PM ICT,2.0
20-Sep-23 10:25 PM ICT,2.0
20-Sep-23 10:30 PM ICT,2.2
20-Sep-23 10:35 PM ICT,2.2
20-Sep-23 10:40 PM ICT,2.2
20-Sep-23 10:45 PM ICT,2.0
20-Sep-23 10:50 PM ICT,2.0
20-Sep-23 10:55 PM ICT,1.9
20-Sep-23 11:00 PM ICT,1.9
20-Sep-23 11:05 PM ICT,1.9
20-Sep-23 11:10 PM ICT,1.8
20-Sep-23 11:15 PM ICT,1.8
20-Sep-23 11:20 PM ICT,2.0
20-Sep-23 11:25 PM ICT,2.0
20-Sep-23 11:30 PM ICT,2.1
20-Sep-23 11:35 PM ICT,2.2
20-Sep-23 11:40 PM ICT,2.0
20-Sep-23 11:45 PM ICT,2.0
20-Sep-23 11:50 PM ICT,2.0
20-Sep-23 11:55 PM ICT,2.0
21-Sep-23 12:00 AM ICT,1.8
21-Sep-23 12:05 AM ICT,1.8
21-Sep-23 12:10 AM ICT,1.9
21-Sep-23 12:15 AM ICT,2.1
21-Sep-23 12:20 AM ICT,2.1
21-Sep-23 12:25 AM ICT,2.0
21-Sep-23 12:30 AM ICT,2.0
21-Sep-23 12:35 AM ICT,1.8
21-Sep-23 12:40 AM ICT,1.8
21-Sep-23 12:45 AM ICT,1.8
21-Sep-23 12:50 AM ICT,1.8
21-Sep-23 12:55 AM ICT,1.8
21-Sep-23 1:00 AM ICT,1.8
21-Sep-23 1:05 AM ICT,1.8
21-Sep-23 1:10 AM ICT,1.9
21-Sep-23 1:15 AM ICT,2.0
21-Sep-23 1:20 AM ICT,2.1
21-Sep-23 1:25 AM ICT,2.2
21-Sep-23 1:30 AM ICT,2.0
21-Sep-23 1:35 AM ICT,1.9
21-Sep-23 1:40 AM ICT,1.8
21-Sep-23 1:45 AM ICT,1.8
21-Sep-23 1:50 AM ICT,1.8
21-Sep-23 1:55 AM ICT,1.9
21-Sep-23 2:00 AM ICT,1.8
21-Sep-23 2:05 AM ICT,1.8
21-Sep-23 2:10 AM ICT,1.8
21-Sep-23 2:15 AM ICT,1.9
21-Sep-23 2:20 AM ICT,1.8
21-Sep-23 2:25 AM ICT,1.8
21-Sep-23 2:30 AM ICT,2.0
21-Sep-23 2:35 AM ICT,2.0
21-Sep-23 2:40 AM ICT,2.1
21-Sep-23 2:45 AM ICT,2.1
21-Sep-23 2:50 AM ICT,2.0
21-Sep-23 2:55 AM ICT,1.6
21-Sep-23 3:00 AM ICT,1.6
21-Sep-23 3:05 AM ICT,1.6
21-Sep-23 3:10 AM ICT,1.6
21-Sep-23 3:15 AM ICT,1.6
21-Sep-23 3:20 AM ICT,1.6
21-Sep-23 3:25 AM ICT,1.6
21-Sep-23 3:30 AM ICT,1.6
21-Sep-23 3:35 AM ICT,1.7
21-Sep-23 3:40 AM ICT,1.9
21-Sep-23 3:45 AM ICT,1.9
21-Sep-23 3:50 AM ICT,1.9
21-Sep-23 3:55 AM ICT,1.9
21-Sep-23 4:00 AM ICT,2.0
21-Sep-23 4:05 AM ICT,1.9
21-Sep-23 4:10 AM ICT,1.8
21-Sep-23 4:15 AM ICT,1.8
21-Sep-23 4:20 AM ICT,1.8
21-Sep-23 4:25 AM ICT,1.9
21-Sep-23 4:30 AM ICT,1.9
21-Sep-23 4:35 AM ICT,1.9
21-Sep-23 4:40 AM ICT,1.9
21-Sep-23 4:45 AM ICT,1.9
21-Sep-23 4:50 AM ICT,1.8
21-Sep-23 4:55 AM ICT,1.9
21-Sep-23 5:00 AM ICT,1.8
21-Sep-23 5:05 AM ICT,1.8
21-Sep-23 5:10 AM ICT,2.0
21-Sep-23 5:15 AM ICT,2.2
21-Sep-23 5:20 AM ICT,2.1
21-Sep-23 5:25 AM ICT,1.7
21-Sep-23 5:30 AM ICT,1.1
21-Sep-23 5:35 AM ICT,1.0
21-Sep-23 5:40 AM ICT,1.0
21-Sep-23 5:45 AM ICT,0.8
21-Sep-23 5:50 AM ICT,0.8
21-Sep-23 5:55 AM ICT,0.7
21-Sep-23 6:00 AM ICT,0.6
21-Sep-23 6:05 AM ICT,0.6
21-Sep-23 6:10 AM ICT,0.6
21-Sep-23 6:15 AM ICT,0.6
21-Sep-23 6:20 AM ICT,0.6
21-Sep-23 6:25 AM ICT,0.6
21-Sep-23 6:30 AM ICT,0.8
21-Sep-23 6:35 AM ICT,0.7
21-Sep-23 6:40 AM ICT,0.6
21-Sep-23 6:45 AM ICT,0.6
21-Sep-23 6:50 AM ICT,0.7
21-Sep-23 6:55 AM ICT,0.8
21-Sep-23 7:00 AM ICT,0.9
21-Sep-23 7:05 AM ICT,0.9
21-Sep-23 7:10 AM ICT,0.8
21-Sep-23 7:15 AM ICT,0.9
21-Sep-23 7:20 AM ICT,0.8
21-Sep-23 7:25 AM ICT,0.7
21-Sep-23 7:30 AM ICT,0.6
21-Sep-23 7:35 AM ICT,0.8
21-Sep-23 7:40 AM ICT,2.5
21-Sep-23 7:45 AM ICT,5.5
21-Sep-23 7:50 AM ICT,5.1
21-Sep-23 7:55 AM ICT,4.7
21-Sep-23 8:00 AM ICT,8.0
21-Sep-23 8:05 AM ICT,9.9
21-Sep-23 8:10 AM ICT,9.4
21-Sep-23 8:15 AM ICT,9.6
21-Sep-23 8:20 AM ICT,13.0
21-Sep-23 8:25 AM ICT,19.7
21-Sep-23 8:30 AM ICT,20.4
21-Sep-23 8:35 AM ICT,20.4
21-Sep-23 8:40 AM ICT,19.9
21-Sep-23 8:45 AM ICT,18.7
21-Sep-23 8:50 AM ICT,17.2
